Time	Food	Creatures
45700	631	66
45800	620	69
45900	616	71
46000	625	73
46100	619	74
46200	612	75
46300	613	77
46400	603	76
46500	600	74
46600	605	72
46700	612	74
46800	593	76
46900	591	77
47000	589	74
47100	573	74
47200	563	71
47300	566	70
47400	560	69
47500	550	70
47600	553	69
47700	542	71
47800	535	74
47900	534	70
48000	531	65
48100	528	66
48200	534	65
48300	530	58
48400	539	55
48500	543	52
48600	546	54
48700	551	50
48800	551	49
48900	552	51
49000	554	51
49100	556	51
49200	556	52
49300	562	47
49400	566	48
49500	567	47
49600	581	49
49700	581	54
49800	582	54
49900	588	53
50000	595	52
50100	599	53
50200	593	50
50300	589	53
50400	590	53
50500	603	53
50600	592	54
50700	601	51
50800	615	51
50900	614	52
51000	617	52
51100	613	56
51200	619	53
51300	634	55
51400	624	52
51500	625	54
51600	628	51
51700	631	55
51800	632	57
51900	624	61
52000	626	60
52100	630	60
52200	635	61
52300	636	62
52400	631	63
52500	621	64
52600	624	65
52700	632	66
52800	634	67
52900	634	64
53000	634	60
53100	646	58
53200	655	59
53300	650	59
53400	652	61
53500	657	62
53600	656	62
53700	656	60
53800	655	60
53900	651	61
54000	654	60
54100	662	60
54200	664	61
54300	662	57
54400	659	59
54500	663	60
54600	650	58
54700	646	57
54800	649	59
54900	639	61
55000	637	63
55100	633	65
55200	624	68
55300	634	66
55400	635	68
55500	641	65
55600	649	70
55700	638	67
55800	648	67
55900	636	71
56000	620	71
56100	611	70
56200	595	72
56300	586	71
56400	590	70
56500	596	72
56600	602	69
56700	594	71
56800	578	73
56900	578	73
57000	586	74
57100	583	73
57200	582	70
57300	574	72
57400	553	70
57500	552	78
57600	547	73
57700	553	73
57800	549	70
57900	552	71
58000	549	71
58100	546	70
58200	544	68
58300	542	66
58400	544	65
58500	555	60
58600	563	54
58700	554	52
58800	574	51
58900	574	55
59000	583	53
59100	608	50
59200	625	49
59300	636	45
59400	643	45
59500	643	42
59600	647	38
59700	674	36
59800	676	36
59900	686	36
60000	687	35
60100	704	36
60200	723	36
60300	736	35
60400	743	39
60500	746	40
60600	759	43
60700	777	42
60800	793	44
60900	790	43
61000	785	46
61100	801	43
61200	802	43
61300	806	45
61400	807	46
61500	808	43
61600	817	45
61700	825	45
61800	829	47
61900	820	54
62000	820	55
62100	804	63
62200	779	74
62300	763	81
62400	737	84
62500	711	98
62600	694	102
62700	672	107
62800	648	110
62900	632	112
63000	624	112
63100	596	110
63200	571	112
63300	552	106
63400	528	111
63500	530	107
63600	509	104
63700	501	105
63800	504	105
63900	491	108
64000	479	105
64100	472	103
64200	471	101
64300	480	89
64400	477	81
64500	485	76
64600	490	69
64700	493	62
64800	514	55
64900	524	53
65000	535	48
65100	545	43
65200	555	36
65300	562	35
65400	588	35
65500	610	36
65600	620	36
65700	631	36
65800	650	35
65900	656	34
66000	673	32
66100	686	31
66200	696	28
66300	713	30
66400	733	33
66500	745	35
66600	757	35
66700	762	34
66800	766	37
66900	771	39
67000	769	41
67100	782	41
67200	781	39
67300	776	42
67400	783	46
67500	802	46
67600	792	47
67700	796	50
67800	789	52
67900	794	53
68000	796	54
68100	807	52
68200	810	57
68300	805	61
68400	809	62
68500	810	64
68600	804	68
68700	796	71
68800	786	73
68900	777	75
69000	761	80
69100	729	82
69200	722	89
69300	694	88
69400	671	96
69500	666	100
69600	632	103
69700	620	105
69800	597	108
69900	567	110
70000	535	113
70100	515	115
70200	514	111
70300	506	113
70400	493	112
70500	483	109
70600	483	105
70700	483	98
70800	481	96
70900	472	87
71000	461	76
71100	462	74
71200	475	67
71300	468	64
71400	457	65
71500	464	61
71600	469	61
71700	479	56
71800	488	55
71900	495	50
72000	504	47
72100	513	45
72200	529	44
72300	549	44
72400	557	42
72500	567	38
72600	579	40
72700	588	39
72800	602	41
72900	610	40
73000	628	38
73100	638	37
73200	645	37
73300	653	37
73400	671	34
73500	679	33
73600	694	33
73700	695	36
73800	708	37
73900	711	38
74000	719	42
74100	722	42
74200	716	45
74300	724	45
74400	745	44
74500	741	48
74600	737	52
74700	736	55
74800	750	57
74900	738	61
75000	716	70
75100	704	71
75200	686	71
75300	670	79
75400	652	83
75500	649	86
75600	645	88
75700	628	94
75800	612	95
75900	592	96
76000	583	99
76100	583	100
76200	584	98
76300	574	95
76400	574	93
76500	566	89
76600	556	87
76700	552	87
76800	561	87
76900	548	84
77000	542	81
77100	552	79
77200	553	74
77300	562	68
77400	563	61
77500	568	63
77600	568	62
77700	580	63
77800	594	60
77900	596	59
78000	596	57
78100	611	57
78200	604	58
78300	603	59
78400	601	60
78500	594	64
78600	590	66
78700	590	68
78800	595	73
78900	581	77
79000	566	79
79100	562	76
79200	556	72
79300	551	73
79400	553	69
79500	549	66
79600	545	64
79700	548	63
79800	555	57
79900	555	58
80000	554	55
80100	557	55
80200	564	57
80300	578	54
80400	588	48
80500	592	53
80600	602	54
80700	601	56
80800	602	53
80900	615	49
81000	610	50
81100	617	47
81200	627	49
81300	631	47
81400	629	46
81500	644	45
81600	646	47
81700	654	50
81800	667	55
81900	661	56
82000	675	56
82100	680	58
82200	674	62
82300	671	68
82400	668	70
82500	672	73
82600	663	74
82700	660	76
82800	659	76
82900	655	77
83000	638	77
83100	619	84
83200	607	85
83300	616	80
83400	599	80
83500	591	77
83600	572	81
83700	584	79
83800	585	78
83900	584	70
84000	598	68
84100	596	69
84200	588	70
84300	578	70
84400	568	66
84500	569	65
84600	561	63
84700	570	66
84800	561	67
84900	557	63
85000	551	65
85100	544	64
85200	548	65
85300	553	64
85400	553	59
85500	572	58
85600	584	54
85700	575	56
85800	576	54
85900	578	58
86000	590	56
86100	595	56
86200	621	56
86300	611	54
86400	621	51
86500	638	50
86600	641	50
86700	641	50
86800	642	49
86900	661	48
87000	661	47
87100	661	45
87200	656	48
87300	662	49
87400	667	46
87500	659	50
87600	669	51
87700	679	50
87800	695	50
87900	706	46
88000	712	45
88100	720	47
88200	723	48
88300	707	56
88400	684	57
88500	663	64
88600	664	63
88700	661	66
88800	644	71
88900	633	76
89000	624	77
89100	617	76
89200	617	77
89300	594	77
89400	577	77
89500	582	78
89600	566	80
89700	567	85
89800	570	81
89900	549	85
90000	545	82
90100	531	87
90200	530	87
90300	518	87
90400	514	85
90500	513	82
90600	513	84
90700	518	76
90800	526	73
90900	516	72
91000	526	63
91100	523	63
91200	544	60
91300	542	59
91400	547	54
91500	551	51
91600	562	50
91700	571	49
91800	581	44
91900	594	44
92000	603	46
92100	602	43
92200	607	43
92300	613	46
92400	627	45
92500	631	46
92600	641	45
92700	659	43
92800	670	41
92900	689	46
93000	707	45
93100	729	41
93200	737	41
93300	753	39
93400	763	38
93500	769	43
93600	775	44
93700	765	50
93800	772	55
93900	777	55
94000	773	55
94100	765	58
94200	751	65
94300	726	72
94400	730	73
94500	721	76
94600	708	80
94700	697	83
94800	686	82
94900	692	84
95000	680	87
95100	655	89
95200	647	90
95300	626	90
95400	627	89
95500	608	92
95600	602	91
95700	591	94
95800	585	92
95900	571	95
96000	549	98
96100	544	101
96200	538	96
96300	525	95
96400	517	94
96500	498	89
96600	485	94
96700	478	94
96800	477	88
96900	481	81
97000	493	80
97100	479	77
97200	484	76
97300	476	77
97400	481	73
97500	480	78
97600	472	72
97700	467	73
97800	464	70
97900	478	62
98000	488	59
98100	496	54
98200	493	54
98300	505	49
98400	514	47
98500	518	46
98600	527	45
98700	542	41
98800	557	35
98900	573	36
99000	577	34
99100	580	34
99200	592	34
99300	606	32
99400	633	28
99500	645	28
99600	663	28
99700	665	27
99800	673	28
99900	682	29
100000	690	32
100100	702	33
100200	705	34
100300	717	34
100400	727	38
100500	737	40
100600	750	41
100700	753	45
100800	755	46
100900	744	53
101000	745	54
