Time	Food	Creatures
45700	336	62
45800	330	62
45900	320	64
46000	317	69
46100	324	68
46200	324	73
46300	317	75
46400	304	75
46500	308	73
46600	304	74
46700	303	75
46800	308	76
46900	306	72
47000	300	72
47100	291	74
47200	281	74
47300	274	73
47400	272	78
47500	271	79
47600	272	79
47700	267	77
47800	261	76
47900	268	79
48000	264	76
48100	271	71
48200	270	69
48300	256	72
48400	251	75
48500	258	68
48600	254	67
48700	256	67
48800	259	69
48900	261	69
49000	264	66
49100	269	63
49200	268	60
49300	268	55
49400	268	54
49500	264	50
49600	263	50
49700	266	47
49800	264	47
49900	271	46
50000	276	45
50100	282	44
50200	283	44
50300	287	44
50400	292	42
50500	296	43
50600	306	42
50700	306	42
50800	303	43
50900	302	41
51000	305	40
51100	312	39
51200	316	42
51300	322	43
51400	319	42
51500	314	41
51600	319	42
51700	318	43
51800	320	45
51900	316	47
52000	318	48
52100	317	46
52200	324	48
52300	329	47
52400	332	47
52500	334	44
52600	337	46
52700	336	47
52800	334	47
52900	335	52
53000	328	51
53100	326	50
53200	317	53
53300	320	55
53400	318	56
53500	324	59
53600	317	61
53700	318	67
53800	318	65
53900	312	68
54000	308	68
54100	306	69
54200	304	70
54300	305	72
54400	289	78
54500	286	77
54600	278	78
54700	267	77
54800	271	81
54900	264	80
55000	259	84
55100	250	86
55200	236	88
55300	235	85
55400	229	86
55500	226	83
55600	217	78
55700	222	74
55800	224	75
55900	229	71
56000	237	70
56100	240	71
56200	243	71
56300	243	67
56400	247	61
56500	247	59
56600	252	53
56700	251	50
56800	250	52
56900	249	51
57000	252	53
57100	250	57
57200	255	55
57300	251	51
57400	249	52
57500	245	52
57600	247	52
57700	251	52
57800	256	50
57900	258	49
58000	261	49
58100	258	48
58200	259	48
58300	265	46
58400	260	44
58500	263	46
58600	262	44
58700	272	40
58800	272	41
58900	288	39
59000	282	39
59100	287	38
59200	290	38
59300	294	38
59400	299	37
59500	306	36
59600	304	34
59700	317	34
59800	316	35
59900	323	38
60000	326	38
60100	324	39
60200	333	39
60300	347	39
60400	347	39
60500	352	38
60600	355	40
60700	357	40
60800	366	38
60900	377	37
61000	374	38
61100	370	38
61200	372	39
61300	372	40
61400	373	42
61500	377	39
61600	372	42
61700	377	41
61800	379	41
61900	379	39
62000	389	39
62100	389	42
62200	392	44
62300	394	44
62400	395	47
62500	385	50
62600	386	52
62700	385	54
62800	393	54
62900	386	57
63000	385	56
63100	375	57
63200	375	57
63300	370	63
63400	361	65
63500	359	67
63600	354	70
63700	355	70
63800	343	75
63900	335	79
64000	325	86
64100	319	87
64200	316	92
64300	307	92
64400	303	94
