Time	Food	Creatures
45700	249	56
45800	259	52
45900	257	48
46000	254	53
46100	257	52
46200	264	46
46300	262	43
46400	260	45
46500	270	42
46600	271	42
46700	277	40
46800	280	41
46900	288	40
47000	289	39
47100	291	31
47200	301	25
47300	307	24
47400	310	23
47500	317	23
47600	327	21
47700	335	21
47800	340	22
47900	347	20
48000	352	19
48100	351	21
48200	365	21
48300	371	20
48400	375	20
48500	381	18
48600	388	20
48700	392	22
48800	402	18
48900	411	17
49000	417	17
49100	427	17
49200	432	17
49300	441	16
49400	453	16
49500	458	21
49600	456	27
49700	466	28
49800	474	30
49900	475	35
50000	466	43
50100	465	44
50200	467	45
50300	471	50
50400	465	52
50500	463	55
50600	464	59
50700	466	58
50800	450	63
50900	450	69
51000	442	73
51100	419	82
51200	406	95
51300	403	97
51400	381	101
51500	367	105
51600	350	109
51700	345	115
51800	331	117
51900	321	118
52000	310	123
52100	289	121
52200	272	122
52300	256	117
52400	250	120
52500	252	113
52600	245	101
52700	246	89
52800	243	85
52900	238	84
53000	240	80
53100	240	72
53200	238	65
53300	237	67
53400	235	76
53500	234	67
53600	235	66
53700	235	61
53800	239	58
53900	235	55
54000	245	41
54100	256	38
54200	259	39
54300	263	37
54400	270	34
54500	287	28
54600	291	26
54700	292	26
54800	299	22
54900	305	21
55000	312	21
55100	316	20
55200	328	21
55300	327	20
55400	337	23
55500	344	22
55600	352	24
55700	359	25
55800	368	23
55900	375	21
56000	380	21
56100	396	23
56200	405	23
56300	414	25
56400	413	27
56500	421	30
56600	422	32
56700	434	33
56800	438	32
56900	432	34
57000	437	34
57100	440	36
57200	443	37
57300	446	38
57400	447	43
57500	450	44
57600	456	40
57700	444	47
57800	440	53
57900	427	59
58000	417	66
58100	405	78
58200	396	85
58300	385	87
58400	377	92
58500	372	87
58600	365	88
58700	362	87
58800	352	88
58900	346	96
59000	329	99
59100	319	109
59200	310	111
59300	292	113
59400	282	116
59500	275	110
59600	261	106
59700	263	100
59800	251	97
59900	246	94
60000	234	92
60100	226	94
60200	221	89
60300	217	84
60400	225	74
60500	228	73
60600	217	73
60700	216	71
60800	210	72
60900	207	69
61000	218	64
61100	212	61
61200	218	58
61300	221	51
61400	228	44
61500	234	43
61600	236	38
61700	233	38
61800	230	40
61900	237	44
62000	239	46
62100	243	46
62200	255	44
62300	262	42
62400	263	39
62500	262	38
62600	270	33
62700	280	35
62800	285	34
62900	291	31
63000	303	28
63100	316	24
63200	329	22
63300	332	20
63400	344	18
63500	352	19
63600	364	18
63700	361	19
63800	368	21
63900	367	25
64000	375	26
64100	380	28
64200	391	29
64300	398	31
64400	408	27
64500	410	34
64600	418	33
64700	420	36
64800	417	38
64900	421	38
65000	427	40
65100	421	43
65200	423	43
65300	424	46
65400	422	47
65500	418	53
65600	413	59
65700	403	66
65800	399	75
65900	385	81
66000	383	85
66100	378	86
66200	365	88
66300	364	84
66400	361	84
66500	354	86
66600	353	82
66700	352	82
66800	351	76
66900	336	83
67000	333	81
67100	325	79
67200	310	88
67300	301	95
67400	295	95
67500	291	91
67600	283	88
67700	281	79
67800	278	79
67900	279	80
68000	280	71
68100	278	66
68200	282	63
68300	284	62
68400	289	53
68500	286	51
68600	287	53
68700	288	52
68800	287	54
68900	281	56
69000	284	60
69100	287	61
69200	281	63
69300	285	60
69400	287	64
69500	292	64
69600	302	59
69700	298	57
69800	299	56
69900	298	58
70000	294	62
70100	302	60
70200	302	59
70300	289	61
70400	295	58
70500	302	55
70600	287	66
70700	289	64
70800	282	68
70900	280	69
71000	282	64
71100	279	62
71200	281	62
71300	280	67
71400	282	71
71500	282	73
71600	278	72
71700	273	74
71800	260	81
71900	263	75
72000	265	73
72100	261	74
72200	266	74
72300	264	71
72400	269	62
72500	267	63
72600	265	62
72700	275	57
72800	276	55
72900	284	55
73000	281	61
73100	279	59
73200	283	59
73300	281	60
73400	279	61
73500	283	62
73600	273	53
73700	274	52
73800	278	48
73900	283	43
74000	285	43
74100	281	44
74200	277	52
74300	280	53
74400	277	57
74500	275	55
74600	279	57
74700	282	61
74800	293	59
74900	282	61
75000	289	60
75100	288	60
75200	284	62
75300	278	62
75400	277	60
75500	278	60
75600	277	64
75700	276	63
75800	274	65
75900	279	65
76000	279	65
76100	281	65
76200	277	62
76300	273	62
76400	280	58
76500	277	55
76600	282	53
76700	289	48
76800	299	46
76900	298	42
77000	292	41
77100	296	40
77200	299	40
77300	297	37
77400	295	39
77500	299	35
77600	306	33
77700	320	34
77800	312	40
77900	315	38
78000	319	39
78100	325	40
78200	331	42
78300	326	40
78400	323	38
78500	326	43
78600	329	43
78700	332	45
78800	332	45
78900	330	42
79000	328	42
79100	331	44
79200	337	42
79300	345	40
79400	348	37
79500	349	37
79600	354	38
79700	352	43
79800	353	49
79900	356	49
80000	353	54
80100	346	54
80200	338	57
80300	340	58
80400	327	61
80500	323	62
80600	313	66
80700	312	67
80800	316	65
80900	312	68
81000	311	69
81100	306	74
81200	304	72
81300	294	77
81400	297	76
81500	295	71
81600	282	75
81700	277	73
81800	275	72
81900	275	72
82000	276	67
82100	268	72
82200	270	67
82300	266	72
82400	265	72
82500	273	70
82600	281	68
82700	280	66
82800	289	58
82900	285	52
83000	293	47
83100	292	45
83200	294	45
83300	296	43
83400	299	41
83500	301	38
83600	300	41
83700	303	41
83800	299	39
83900	310	39
84000	312	38
84100	311	40
84200	314	38
84300	315	39
84400	318	40
84500	317	41
84600	321	37
84700	321	44
84800	324	45
84900	320	44
85000	323	45
85100	330	42
85200	329	40
85300	329	34
85400	335	34
85500	346	36
85600	353	33
85700	347	35
85800	352	35
85900	357	35
86000	362	38
86100	366	40
86200	361	43
86300	360	43
86400	354	46
86500	357	45
86600	346	50
86700	346	57
86800	349	61
86900	348	66
87000	339	71
87100	341	65
87200	330	73
87300	318	75
87400	314	79
87500	305	79
87600	297	84
87700	288	85
87800	282	79
87900	274	77
88000	270	82
88100	270	82
88200	269	72
88300	260	79
88400	254	82
88500	245	75
88600	246	73
88700	247	81
88800	248	79
88900	244	73
89000	254	69
89100	252	67
89200	259	63
89300	261	57
89400	267	53
89500	274	50
89600	272	43
89700	269	41
89800	272	37
89900	273	34
90000	279	31
90100	278	33
90200	285	33
90300	289	35
90400	296	35
90500	297	38
90600	297	35
90700	307	35
90800	312	31
90900	317	34
91000	320	35
91100	325	33
91200	331	36
91300	338	38
91400	335	38
91500	332	41
91600	335	40
91700	329	42
91800	333	41
91900	336	43
92000	339	40
92100	341	38
92200	334	46
92300	338	45
92400	333	48
92500	328	51
92600	327	56
92700	325	60
92800	317	61
92900	316	66
93000	313	68
93100	317	67
93200	306	70
93300	312	71
93400	311	73
93500	309	69
93600	304	70
93700	301	72
93800	300	75
93900	308	72
94000	301	64
94100	292	69
94200	291	74
94300	291	74
94400	292	74
94500	285	75
94600	276	80
94700	278	73
94800	280	74
94900	286	74
95000	276	74
95100	278	73
95200	273	72
95300	274	65
95400	272	67
95500	275	67
95600	278	60
95700	280	62
95800	275	65
95900	275	64
96000	281	60
96100	278	67
96200	275	75
96300	281	71
96400	276	70
96500	280	68
96600	275	58
96700	265	59
96800	270	53
96900	274	52
97000	279	53
97100	282	52
97200	284	49
97300	284	47
97400	295	44
97500	297	45
97600	302	45
97700	313	37
97800	319	41
97900	320	43
98000	327	44
98100	326	38
98200	328	38
98300	327	39
98400	331	43
98500	333	46
98600	332	46
98700	337	45
98800	334	47
98900	335	49
99000	335	48
99100	335	47
99200	325	54
99300	324	56
99400	312	64
99500	299	65
99600	307	67
99700	299	69
99800	301	70
99900	308	66
100000	319	65
100100	318	65
100200	313	61
100300	306	66
100400	313	65
100500	308	67
100600	301	69
