width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize
0	312	50	9
100	304	53	9.018867924528301
200	305	58	8.982758620689655
300	304	65	8.938461538461539
400	304	70	8.914285714285715
500	305	77	8.857142857142858
600	304	59	8.847457627118644
700	297	66	8.803030303030303
800	296	68	8.823529411764707
900	288	72	8.805555555555555
1000	290	68	8.823529411764707
1100	292	59	8.813559322033898
1200	291	59	8.847457627118644
1300	281	63	8.841269841269842
1400	276	65	8.8
1500	280	61	8.852459016393443
1600	286	61	8.836065573770492
1700	287	62	8.774193548387096
1800	279	62	8.82258064516129
1900	281	56	8.821428571428571
2000	286	53	8.79245283018868
2100	285	57	8.824561403508772
2200	285	58	8.862068965517242
2300	283	55	8.818181818181818
2400	281	51	8.843137254901961
2500	289	53	8.90566037735849
2600	290	55	8.854545454545455
2700	286	57	8.789473684210526
2800	287	52	8.76923076923077
2900	283	50	8.82
3000	283	51	8.568627450980392
3100	287	53	8.528301886792454
3200	288	46	8.717391304347826
3300	290	48	8.5625
3400	294	46	8.521739130434783
3500	302	48	8.520833333333334
3600	308	42	8.642857142857142
3700	309	38	8.657894736842104
3800	312	39	8.846153846153847
3900	315	39	8.846153846153847
4000	310	42	8.928571428571429
4100	309	43	8.953488372093023
4200	315	46	8.978260869565217
4300	309	49	8.959183673469388
4400	308	50	8.9
4500	311	54	8.87037037037037
4600	311	52	8.788461538461538
4700	303	52	8.826923076923077
4800	306	56	8.910714285714286
4900	309	54	8.907407407407407
5000	313	54	8.88888888888889
5100	314	52	8.942307692307692
5200	316	50	8.9
5300	312	48	8.8125
5400	319	47	8.787234042553191
5500	325	45	8.755555555555556
5600	326	49	8.693877551020408
5700	322	51	8.529411764705882
5800	323	52	8.5
5900	317	56	8.482142857142858
6000	315	57	8.368421052631579
6100	315	62	8.290322580645162
6200	312	58	8.310344827586206
6300	312	59	8.338983050847459
6400	310	60	8.35
6500	308	59	8.305084745762711
6600	304	61	8.278688524590164
6700	306	62	8.32258064516129
6800	306	60	8.316666666666666
6900	299	62	8.35483870967742
7000	288	67	8.328358208955224
7100	289	64	8.390625
7200	287	60	8.316666666666666
7300	288	57	8.228070175438596
7400	292	54	8.277777777777779
7500	287	54	8.203703703703704
7600	294	51	8.235294117647058
7700	293	48	8.020833333333334
7800	298	49	8
7900	308	47	7.914893617021277
8000	310	48	7.833333333333333
8100	309	50	7.88
8200	312	49	7.857142857142857
8300	316	46	7.804347826086956
8400	322	46	7.826086956521739
8500	329	49	7.816326530612245
8600	328	41	7.7560975609756095
8700	330	41	7.7560975609756095
8800	335	38	7.7631578947368425
8900	340	41	7.634146341463414
9000	345	39	7.589743589743589
9100	347	37	7.486486486486487
9200	352	38	7.421052631578948
9300	353	37	7.54054054054054
9400	354	36	7.638888888888889
9500	359	37	7.702702702702703
9600	361	43	7.511627906976744
9700	365	47	7.48936170212766
9800	359	50	7.4
9900	357	53	7.433962264150943
10000	350	56	7.464285714285714
10100	347	54	7.555555555555555
10200	337	61	7.852459016393443
10300	332	68	7.779411764705882
10400	326	72	7.805555555555555
10500	324	73	7.780821917808219
10600	323	72	7.708333333333333
10700	316	75	7.733333333333333
10800	319	70	7.785714285714286
10900	320	67	7.7611940298507465
11000	317	66	7.757575757575758
11100	320	63	7.7936507936507935
11200	327	60	7.8
11300	328	49	7.795918367346939
11400	328	50	7.74
11500	326	55	7.5636363636363635
11600	323	55	7.5636363636363635
11700	323	58	7.672413793103448
11800	318	62	7.661290322580645
11900	314	67	7.701492537313433
12000	310	69	7.855072463768116
12100	312	64	7.890625
12200	299	68	7.779411764705882
12300	299	65	7.769230769230769
12400	305	65	7.769230769230769
12500	305	64	7.6875
12600	306	62	7.661290322580645
12700	304	62	7.661290322580645
12800	307	62	7.82258064516129
12900	301	60	7.883333333333334
13000	307	56	7.821428571428571
13100	308	56	7.803571428571429
13200	305	56	7.946428571428571
13300	303	55	8
13400	304	48	8
13500	309	44	7.954545454545454
13600	306	47	8.063829787234043
13700	308	49	8.081632653061224
13800	310	51	8.098039215686274
13900	308	48	8.270833333333334
14000	303	49	8.408163265306122
14100	309	49	8.36734693877551
14200	303	51	8.215686274509803
14300	300	49	8.244897959183673
14400	298	48	8.25
14500	298	52	8.076923076923077
14600	304	50	8.04
14700	303	51	7.980392156862745
14800	306	51	8.03921568627451
14900	317	51	8.07843137254902
15000	322	48	8.333333333333334
15100	325	48	8.229166666666666
15200	330	47	8.297872340425531
15300	331	45	8.377777777777778
15400	344	47	8.404255319148936
15500	339	49	8.489795918367347
15600	339	54	8.518518518518519
15700	332	57	8.631578947368421
15800	335	57	8.68421052631579
15900	329	61	8.704918032786885
16000	324	71	8.56338028169014
16100	314	73	8.547945205479452
16200	313	75	8.493333333333334
16300	306	74	8.364864864864865
16400	305	73	8.287671232876713
16500	305	70	8.242857142857142
16600	301	66	8.106060606060606
16700	304	67	8.074626865671641
16800	306	61	8.098360655737705
16900	302	56	8.107142857142858
17000	307	51	8.03921568627451
17100	311	43	7.953488372093023
17200	299	47	7.872340425531915
17300	301	49	7.8979591836734695
17400	304	46	8.23913043478261
17500	304	52	8.192307692307692
17600	303	52	8.134615384615385
17700	304	55	8.218181818181819
17800	305	56	8.285714285714286
17900	317	57	8.210526315789474
18000	311	59	8.23728813559322
18100	308	60	8.266666666666667
18200	302	60	8.216666666666667
18300	299	58	8.275862068965518
18400	296	56	8.303571428571429
18500	298	63	8.063492063492063
18600	291	60	7.933333333333334
18700	288	57	7.947368421052632
18800	281	62	7.887096774193548
18900	270	71	7.802816901408451
19000	272	70	7.685714285714286
19100	273	60	7.8
19200	277	57	7.701754385964913
19300	290	53	7.773584905660377
19400	288	54	7.611111111111111
19500	279	52	7.615384615384615
19600	276	51	7.745098039215686
19700	287	53	7.735849056603773
19800	281	54	7.611111111111111
19900	282	52	7.519230769230769
20000	284	47	7.74468085106383
20100	287	47	7.76595744680851
20200	285	51	7.901960784313726
20300	285	51	7.921568627450981
20400	298	48	8.020833333333334
20500	306	46	7.913043478260869
20600	312	46	7.869565217391305
