width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	MeanSize	MinSize	MaxSize
0	312	50	9	9	9
100	306	52	9	9	9
200	311	54	8.981481481481481	8	9
300	314	55	9	8	10
400	311	61	9.032786885245901	8	10
500	310	65	9.061538461538461	8	11
600	314	47	9.170212765957446	8	11
700	310	51	9.196078431372548	8	11
800	302	54	9.166666666666666	8	11
900	299	58	9.155172413793103	8	11
1000	300	59	9.067796610169491	8	11
1100	299	54	9.092592592592593	8	11
1200	295	54	8.925925925925926	7	10
1300	291	58	8.89655172413793	7	10
1400	293	63	8.936507936507937	7	10
1500	288	62	9	7	11
1600	284	62	8.951612903225806	7	11
1700	286	66	8.924242424242424	7	11
1800	289	63	8.968253968253968	7	11
1900	287	60	9	7	11
2000	284	59	9.033898305084746	7	11
2100	278	60	9.033333333333333	7	11
2200	280	58	9.172413793103448	8	11
2300	287	57	9.175438596491228	8	11
2400	293	54	9.12962962962963	7	11
2500	295	56	9.107142857142858	7	11
2600	300	56	9.089285714285714	7	11
2700	299	51	9.07843137254902	7	11
2800	302	52	9.076923076923077	7	11
2900	293	50	9.04	8	11
3000	292	53	9.056603773584905	8	11
3100	290	56	9.017857142857142	8	11
3200	294	58	9	8	11
3300	300	58	9.03448275862069	8	11
3400	310	50	9.02	8	11
3500	314	52	9	8	11
3600	314	45	9	8	11
3700	317	42	9.142857142857142	8	11
3800	323	41	9.024390243902438	8	11
3900	318	44	9.068181818181818	8	11
4000	316	43	9	8	11
4100	316	47	9.042553191489361	8	11
4200	319	44	8.977272727272727	8	11
4300	322	43	9	8	11
4400	318	46	9.108695652173912	8	11
4500	324	43	9.13953488372093	8	11
4600	323	49	9.142857142857142	8	11
4700	313	54	9.074074074074074	7	11
4800	313	57	9.035087719298245	7	11
4900	309	59	9.033898305084746	7	12
5000	304	64	9.15625	7	12
5100	297	65	9.092307692307692	7	12
5200	295	59	9.23728813559322	7	12
5300	289	60	9.333333333333334	7	12
5400	287	63	9.34920634920635	7	12
5500	284	54	9.203703703703704	7	12
5600	284	54	9.166666666666666	7	12
5700	281	54	9.222222222222221	7	13
5800	275	64	9.21875	7	13
5900	281	64	9.21875	7	13
6000	280	68	9.323529411764707	7	13
6100	277	68	9.352941176470589	7	13
6200	273	64	9.265625	7	13
6300	267	60	9.183333333333334	7	13
6400	272	60	9.216666666666667	7	13
6500	272	59	9.372881355932204	7	13
6600	271	55	9.418181818181818	7	13
6700	275	53	9.30188679245283	7	13
6800	279	46	9.391304347826088	7	13
6900	289	43	9.44186046511628	7	14
7000	297	39	9.076923076923077	6	14
7100	295	40	8.95	6	14
7200	294	41	8.951219512195122	5	14
7300	291	42	9.023809523809524	5	14
7400	300	38	9.210526315789474	5	14
7500	307	36	9.36111111111111	5	14
7600	306	36	9.472222222222221	5	14
7700	313	32	9.75	5	14
7800	318	36	9.916666666666666	5	14
7900	326	38	9.973684210526315	5	14
8000	325	39	9.820512820512821	5	14
8100	327	42	9.976190476190476	5	15
8200	323	50	9.96	5	15
8300	320	53	9.924528301886792	5	15
8400	323	45	9.733333333333333	5	15
8500	321	48	9.708333333333334	5	15
8600	326	45	9.733333333333333	5	15
8700	332	42	9.666666666666666	5	12
8800	333	43	9.534883720930232	5	12
8900	325	48	9.5	5	12
9000	319	54	9.518518518518519	5	12
9100	318	54	9.666666666666666	5	12
9200	321	57	9.649122807017545	5	13
9300	315	61	9.442622950819672	5	13
9400	312	65	9.615384615384615	5	13
9500	313	67	9.656716417910447	5	13
9600	308	63	9.65079365079365	5	13
9700	303	63	9.80952380952381	5	14
9800	303	67	9.925373134328359	5	14
9900	304	61	10	5	14
10000	304	59	9.915254237288135	5	14
10100	303	61	9.885245901639344	5	14
10200	301	59	9.966101694915254	6	14
10300	303	57	10.035087719298245	6	13
10400	285	61	10.01639344262295	6	13
10500	302	59	9.983050847457626	6	13
10600	298	58	9.931034482758621	6	13
10700	300	60	10.066666666666666	6	13
10800	300	58	10.068965517241379	7	13
10900	287	62	9.951612903225806	6	13
11000	277	60	10.016666666666667	6	13
11100	281	62	10.048387096774194	6	13
11200	285	63	10.047619047619047	6	13
11300	282	71	9.971830985915492	6	13
11400	288	67	10.074626865671641	6	13
11500	290	65	10.123076923076923	6	13
11600	288	63	10.079365079365079	6	14
11700	285	63	10.142857142857142	6	14
11800	285	56	10.142857142857142	6	14
11900	285	52	10.326923076923077	7	14
12000	270	58	10.60344827586207	7	15
12100	269	65	10.584615384615384	7	15
12200	271	64	10.5	7	15
12300	281	63	10.53968253968254	7	15
12400	284	62	10.548387096774194	7	15
12500	288	58	10.620689655172415	7	15
12600	297	57	10.526315789473685	7	15
12700	306	52	10.653846153846153	7	15
12800	315	50	10.82	7	15
12900	314	51	11.176470588235293	7	16
13000	316	57	11.280701754385966	7	16
13100	312	55	11.454545454545455	7	16
13200	314	52	11.634615384615385	7	16
13300	314	54	11.75925925925926	7	17
13400	319	57	11.596491228070175	7	17
13500	324	58	11.53448275862069	7	17
13600	317	58	11.551724137931034	8	17
13700	323	60	11.733333333333333	8	18
13800	318	66	11.621212121212121	8	18
13900	317	69	11.840579710144928	8	18
14000	314	69	11.898550724637682	7	18
14100	314	68	11.852941176470589	7	18
14200	296	73	11.849315068493151	7	18
14300	294	71	11.816901408450704	7	18
14400	296	73	11.753424657534246	7	18
14500	294	75	12.066666666666666	7	18
14600	283	78	12.192307692307692	7	18
14700	281	75	12.426666666666666	6	18
14800	285	69	12.434782608695652	6	18
14900	284	68	12.308823529411764	6	18
15000	282	67	12.194029850746269	6	18
15100	276	62	12.306451612903226	6	18
15200	279	64	12	6	18
15300	274	68	11.911764705882353	6	18
15400	260	81	12.197530864197532	6	18
15500	261	80	12.225	7	18
15600	261	78	12.128205128205128	7	18
15700	257	78	11.948717948717949	7	18
15800	252	66	12.257575757575758	7	18
15900	253	63	12.079365079365079	7	18
16000	258	59	11.847457627118644	7	18
16100	254	62	11.82258064516129	7	18
16200	258	59	12.05084745762712	7	18
16300	261	55	11.836363636363636	7	17
16400	260	46	11.717391304347826	7	17
16500	256	45	11.733333333333333	7	17
16600	258	46	11.847826086956522	7	17
16700	265	43	11.930232558139535	7	17
16800	266	42	12.261904761904763	7	18
16900	271	42	12.119047619047619	7	18
17000	268	48	12.229166666666666	7	18
17100	268	50	11.86	6	18
17200	272	46	11.869565217391305	6	18
17300	280	41	11.658536585365853	6	18
17400	282	44	11.590909090909092	6	18
17500	286	48	11.895833333333334	6	18
17600	289	45	12.088888888888889	6	18
17700	286	46	12.782608695652174	6	19
17800	283	51	13	6	19
17900	274	56	13	6	19
18000	280	51	13.019607843137255	6	19
18100	283	44	13.522727272727273	6	19
18200	277	50	13.86	6	20
18300	281	52	13.98076923076923	6	20
18400	277	55	14.309090909090909	6	20
18500	276	57	14.368421052631579	5	20
18600	277	55	14.672727272727272	5	21
18700	279	51	14.392156862745098	5	21
18800	278	55	14.309090909090909	5	21
18900	270	57	14.280701754385966	5	21
19000	264	58	14.862068965517242	5	22
19100	257	66	14.742424242424242	5	22
19200	257	69	14.666666666666666	5	22
19300	252	69	14.666666666666666	5	22
19400	245	75	14.893333333333333	5	22
19500	243	70	14.514285714285714	5	22
19600	240	68	14.279411764705882	5	22
19700	238	65	14.461538461538462	5	22
19800	227	72	14.48611111111111	5	22
19900	214	74	14.864864864864865	5	22
20000	213	74	14.986486486486486	6	22
20100	217	71	14.661971830985916	6	22
20200	215	72	14.902777777777779	6	22
20300	215	71	14.887323943661972	6	22
20400	208	71	15.154929577464788	6	22
20500	203	66	14.833333333333334	6	22
20600	195	68	14.794117647058824	6	22
20700	195	64	15.109375	6	22
20800	197	60	15.466666666666667	6	22
20900	192	59	14.677966101694915	6	22
21000	200	54	14.555555555555555	6	22
21100	203	54	14.648148148148149	6	22
21200	200	49	14.73469387755102	9	22
21300	207	44	14.386363636363637	9	22
21400	206	44	14.181818181818182	9	22
21500	208	43	14	8	22
21600	211	42	14.547619047619047	8	22
21700	215	45	14.666666666666666	8	23
21800	215	41	14.804878048780488	8	23
21900	218	38	14.763157894736842	8	23
22000	222	38	14.842105263157896	8	23
22100	228	32	14.59375	9	23
22200	231	30	15	9	23
22300	233	22	15.272727272727273	9	23
22400	237	25	14.96	8	23
22500	242	28	14.75	8	23
22600	249	26	14.807692307692308	8	23
22700	247	25	14	8	23
22800	252	27	14.11111111111111	8	23
22900	253	27	14.148148148148149	8	23
23000	261	28	14.178571428571429	8	23
23100	265	28	14.25	8	23
23200	272	29	14.206896551724139	8	23
23300	274	33	14.06060606060606	8	23
23400	274	35	14.342857142857143	8	24
23500	272	36	14.972222222222221	8	24
23600	275	39	15.384615384615385	8	24
23700	280	39	14.846153846153847	8	24
23800	277	39	14.717948717948717	8	24
23900	277	45	15.688888888888888	8	24
24000	277	45	15.044444444444444	8	24
24100	277	47	14.936170212765957	8	24
24200	278	50	14.98	8	24
24300	285	48	14.541666666666666	8	24
24400	280	51	14.235294117647058	7	24
24500	287	51	14	7	24
24600	281	52	14	7	24
24700	277	53	13.679245283018869	7	24
24800	278	56	14.928571428571429	7	24
24900	269	63	14.746031746031745	7	24
25000	269	66	14.727272727272727	7	24
25100	265	69	15.101449275362318	7	24
25200	256	72	15.083333333333334	7	24
25300	254	73	14.780821917808218	7	24
25400	251	76	15.289473684210526	7	24
25500	246	73	15.315068493150685	8	24
25600	246	75	15.906666666666666	8	24
25700	237	76	16.013157894736842	8	24
25800	234	78	15.58974358974359	8	24
25900	236	72	15.569444444444445	8	24
26000	230	71	16.12676056338028	8	24
26100	230	65	16.076923076923077	8	24
26200	231	68	16	8	24
26300	233	65	16.523076923076925	8	25
26400	238	62	16.838709677419356	8	25
26500	238	58	17.551724137931036	8	25
26600	239	59	17.25423728813559	8	25
26700	234	64	17.859375	8	25
26800	231	62	18.532258064516128	8	25
26900	228	65	18.184615384615384	8	25
27000	232	67	18.388059701492537	8	25
27100	228	68	18.38235294117647	8	26
27200	216	65	19	8	26
27300	215	68	19.13235294117647	8	26
27400	213	70	19.085714285714285	8	26
27500	220	61	18.65573770491803	8	26
27600	223	60	18.8	8	26
27700	228	53	19.150943396226417	8	26
27800	234	52	19.326923076923077	8	26
27900	235	51	20.03921568627451	8	26
28000	239	53	20.867924528301888	8	26
28100	239	54	21.09259259259259	8	26
28200	233	53	21.264150943396228	8	26
28300	235	54	21.12962962962963	8	26
28400	236	57	21.228070175438596	8	26
28500	236	60	21.45	8	26
28600	233	61	21.639344262295083	8	26
28700	233	63	21.555555555555557	8	26
28800	240	63	21.841269841269842	8	26
28900	238	65	22.215384615384615	8	26
29000	231	60	22.566666666666666	9	26
29100	235	61	22.721311475409838	11	26
29200	235	60	22.666666666666668	11	26
29300	236	60	22.666666666666668	11	26
29400	222	63	22.46031746031746	11	26
29500	218	61	22.524590163934427	11	26
29600	220	61	22.508196721311474	11	26
29700	229	59	22.677966101694917	18	26
29800	227	61	22.75409836065574	18	26
29900	226	59	22.796610169491526	18	26
30000	227	58	22.93103448275862	18	26
30100	223	59	22.966101694915253	18	26
30200	222	61	22.934426229508198	18	26
30300	224	54	22.944444444444443	18	26
30400	224	56	23.071428571428573	18	26
30500	222	53	23	18	26
30600	224	52	22.865384615384617	18	26
30700	228	54	22.90740740740741	18	26
30800	219	57	22.82456140350877	18	26
30900	219	52	23.01923076923077	18	26
31000	230	49	22.836734693877553	18	26
31100	219	54	22.814814814814813	18	26
31200	223	55	22.89090909090909	18	26
31300	226	58	22.82758620689655	18	26
31400	231	60	22.833333333333332	18	26
31500	233	61	22.770491803278688	18	25
31600	231	58	22.982758620689655	20	25
31700	243	54	22.962962962962962	20	25
31800	239	54	23.01851851851852	20	25
31900	239	50	22.88	19	26
32000	234	54	22.77777777777778	19	26
32100	234	50	22.66	19	26
32200	230	53	22.528301886792452	19	26
32300	235	51	22.54901960784314	19	26
32400	233	53	22.433962264150942	19	26
32500	240	45	22.377777777777776	20	26
32600	228	49	22.26530612244898	19	26
32700	229	44	22.227272727272727	19	26
32800	230	47	22.25531914893617	19	26
32900	240	44	22.40909090909091	19	26
33000	248	41	22.390243902439025	19	26
33100	255	42	22.357142857142858	19	26
33200	260	37	22.35135135135135	19	26
33300	261	36	22.194444444444443	19	26
33400	258	35	21.97142857142857	19	26
33500	256	38	21.94736842105263	19	26
33600	253	42	22	19	26
33700	255	44	21.977272727272727	19	26
33800	244	53	22.056603773584907	19	27
33900	232	63	22.126984126984127	19	27
34000	226	72	22.166666666666668	19	27
34100	222	76	22.276315789473685	19	27
34200	226	79	22.151898734177216	19	27
34300	223	82	22.24390243902439	19	27
34400	216	83	22.27710843373494	19	27
34500	219	76	22.394736842105264	19	27
34600	207	77	22.07792207792208	18	27
34700	210	76	22.13157894736842	18	27
34800	206	73	22.19178082191781	18	27
34900	204	69	22.144927536231883	18	27
35000	211	64	21.984375	18	27
35100	212	59	22	18	27
35200	217	54	22.27777777777778	18	27
35300	221	50	22.2	18	27
35400	218	49	22.020408163265305	18	27
35500	215	49	22.224489795918366	18	28
35600	222	44	22.40909090909091	18	28
35700	215	50	22.48	18	28
35800	211	60	22.8	18	28
35900	219	58	22.896551724137932	18	28
36000	222	57	22.859649122807017	19	28
36100	224	62	22.806451612903224	19	28
36200	223	65	22.876923076923077	19	28
36300	211	71	22.971830985915492	19	28
36400	207	68	22.808823529411764	19	28
36500	212	69	22.855072463768117	19	28
36600	212	69	22.91304347826087	19	28
36700	204	75	23.04	19	28
36800	201	70	23.057142857142857	19	28
36900	198	71	23.070422535211268	19	28
37000	194	67	22.880597014925375	19	28
37100	191	72	22.84722222222222	19	28
37200	189	69	22.884057971014492	19	28
37300	185	69	22.82608695652174	19	28
37400	180	71	22.887323943661972	19	28
37500	175	72	22.875	18	28
37600	181	67	22.970149253731343	18	28
37700	187	60	23.133333333333333	18	28
37800	186	50	23.12	18	27
37900	190	47	23.27659574468085	18	27
38000	194	48	23.375	18	27
38100	194	48	23.458333333333332	18	27
38200	188	50	23.56	20	27
38300	189	46	23.369565217391305	20	27
38400	185	48	23.083333333333332	19	27
38500	181	56	23.053571428571427	19	27
38600	175	56	22.910714285714285	19	27
38700	173	57	22.771929824561404	19	26
38800	162	60	22.733333333333334	19	26
38900	165	57	22.54385964912281	19	26
39000	170	59	22.76271186440678	19	26
39100	166	62	22.725806451612904	19	26
39200	170	59	22.52542372881356	19	26
39300	168	58	22.482758620689655	19	26
39400	173	54	22.462962962962962	19	26
39500	173	54	22.40740740740741	18	26
39600	181	46	22.32608695652174	18	26
39700	187	40	22.425	18	26
39800	197	37	22.54054054054054	18	26
39900	195	40	22.85	18	26
40000	199	37	22.972972972972972	18	26
40100	203	36	23.02777777777778	18	26
40200	210	34	23.176470588235293	18	26
40300	215	33	23.333333333333332	18	26
40400	220	31	23.419354838709676	18	26
40500	225	27	23.37037037037037	18	26
40600	225	24	23.375	18	26
40700	232	26	23.384615384615383	18	26
40800	242	26	23.46153846153846	18	26
40900	242	26	23.5	18	26
41000	249	27	23.40740740740741	18	26
41100	255	28	23.357142857142858	18	26
41200	261	30	23.266666666666666	18	26
41300	261	33	23.151515151515152	18	26
41400	265	33	23.12121212121212	18	26
41500	266	34	23.352941176470587	18	26
41600	268	35	23.228571428571428	18	26
41700	276	37	22.864864864864863	18	26
41800	275	41	23.073170731707318	18	27
41900	278	41	23.048780487804876	18	27
42000	284	41	22.926829268292682	18	27
42100	289	49	23.20408163265306	18	27
42200	289	51	23.54901960784314	18	27
42300	290	54	23.537037037037038	18	27
42400	282	59	23.491525423728813	17	27
42500	283	65	23.56923076923077	17	27
42600	269	76	23.55263157894737	17	27
42700	260	77	23.51948051948052	17	27
