width: 600; height: 400
initialCount: 312, energy: 500, r: 1, growthRate: 0.1
initialCount: 50, energy: 500, metabolism: 1, reproductionThreshold: 1000, size: 9, speed: 0.2, type: Bloop2
Time	Food	Creatures	Size
0	312	50	9
100	306	55	9.036363636363637
200	305	57	9.052631578947368
300	299	65	9
400	293	73	9
500	296	76	8.986842105263158
600	292	67	9.014925373134329
700	296	68	8.985294117647058
800	292	75	8.973333333333333
900	294	70	8.985714285714286
1000	291	73	9.04109589041096
1100	295	64	9.0625
1200	292	63	9
1300	297	60	8.983333333333333
1400	300	56	8.928571428571429
1500	308	53	8.943396226415095
1600	317	49	8.89795918367347
1700	318	52	8.846153846153847
1800	320	43	8.883720930232558
1900	316	42	8.880952380952381
2000	317	38	8.868421052631579
2100	330	39	8.794871794871796
2200	335	36	8.777777777777779
2300	340	34	8.794117647058824
2400	343	31	8.774193548387096
2500	346	31	8.774193548387096
2600	348	30	8.766666666666667
2700	361	31	8.96774193548387
2800	365	32	8.96875
2900	365	32	8.9375
3000	365	38	9.157894736842104
3100	364	40	9.15
3200	369	44	9.25
3300	371	46	9.217391304347826
3400	362	49	9.183673469387756
3500	367	52	9.192307692307692
3600	373	55	9.072727272727272
3700	369	57	9.087719298245615
3800	375	57	8.929824561403509
3900	368	66	9.090909090909092
4000	364	69	9.072463768115941
4100	353	75	9.093333333333334
4200	352	81	9.160493827160494
4300	338	88	9.147727272727273
4400	329	92	9.271739130434783
4500	314	96	9.3125
4600	319	100	9.36
4700	311	99	9.353535353535353
4800	304	99	9.303030303030303
4900	290	103	9.368932038834952
5000	284	108	9.425925925925926
5100	269	108	9.38888888888889
5200	249	114	9.37719298245614
5300	248	109	9.412844036697248
5400	239	106	9.452830188679245
5500	236	110	9.4
5600	219	113	9.336283185840708
5700	223	109	9.440366972477063
5800	219	104	9.538461538461538
5900	221	101	9.623762376237623
6000	218	95	9.652631578947368
6100	217	87	9.804597701149426
6200	213	77	9.857142857142858
6300	202	79	9.89873417721519
6400	191	77	9.909090909090908
6500	194	73	9.904109589041095
6600	199	68	9.882352941176471
6700	195	66	9.969696969696969
6800	207	63	10.031746031746032
6900	209	54	10.074074074074074
7000	207	50	9.98
7100	207	46	10.043478260869565
7200	213	45	10.022222222222222
7300	218	45	10
7400	222	39	10.051282051282051
7500	226	38	10.210526315789474
7600	230	32	10.375
7700	234	27	10.481481481481481
7800	239	27	10.481481481481481
7900	248	23	10
8000	253	20	9.85
8100	263	18	9.88888888888889
8200	272	15	9.933333333333334
8300	283	14	10
8400	293	12	9.666666666666666
8500	298	12	9.666666666666666
8600	313	15	9.333333333333334
8700	323	14	9.285714285714286
8800	326	13	9.307692307692308
8900	334	13	9.461538461538462
9000	341	12	9.583333333333334
9100	349	11	10.272727272727273
9200	360	12	10.583333333333334
9300	363	15	10.866666666666667
9400	368	18	10.444444444444445
9500	378	19	10.473684210526315
9600	383	18	10.38888888888889
9700	391	20	10.45
9800	397	20	10.3
9900	401	18	10.055555555555555
10000	407	20	10.25
10100	407	23	10.478260869565217
10200	406	24	10.5
10300	413	27	10.481481481481481
10400	411	27	10.777777777777779
10500	418	29	10.89655172413793
10600	421	30	10.833333333333334
10700	421	33	10.696969696969697
10800	410	42	10.523809523809524
10900	417	44	10.659090909090908
11000	418	50	10.7
11100	419	52	10.711538461538462
11200	409	60	10.833333333333334
11300	401	62	10.96774193548387
11400	385	77	10.896103896103897
11500	381	82	10.890243902439025
11600	371	91	10.758241758241759
11700	372	91	10.835164835164836
11800	361	95	10.873684210526315
11900	361	96	10.677083333333334
12000	343	96	10.677083333333334
12100	329	102	10.617647058823529
12200	317	109	10.53211009174312
12300	315	108	10.555555555555555
12400	302	111	10.45945945945946
12500	296	110	10.463636363636363
12600	278	118	10.533898305084746
12700	274	117	10.495726495726496
12800	256	117	10.393162393162394
12900	252	114	10.394736842105264
13000	236	123	10.300813008130081
13100	234	118	10.186440677966102
13200	231	114	10.157894736842104
13300	220	101	10.05940594059406
13400	214	98	10.13265306122449
13500	214	92	10.141304347826088
13600	209	91	10.10989010989011
13700	214	79	10.20253164556962
13800	209	83	10.156626506024097
13900	199	89	10.168539325842696
14000	205	85	10.176470588235293
14100	199	79	10.177215189873417
14200	193	81	10.320987654320987
14300	192	76	10.355263157894736
14400	194	66	10.43939393939394
14500	204	62	10.370967741935484
